"代號","名稱","成交","漲跌價","漲跌幅","更新日期","DIF(日)","MACD(日)","OSC(日)","DIF(週)","MACD(週)","OSC(週)","DIF(月)","MACD(月)","OSC(月)"
="2317","鴻海","251","+4.5","+1.83","11/12","7.25↘","8.36↘","-2.23↘","20.2↗","15.9↗","8.64↘","23.5↗","17.7↗","11.7↗"
="2330","台積電","1475","+10","+0.68","11/12","29.3↘","39.9↘","-21.2↗","117↗","95.3↗","43↘","173↗","136↗","74.9↗"
="2308","台達電","967","-5","-0.51","11/12","14.7↘","28.6↘","-27.8↗","147↘","132↗","29.8↘","135↗","71.6↗","126↗"
="2454","聯發科","1245","+5","+0.4","11/12","-25.5↘","-20.6↘","-9.8↘","-18↘","-3.71↘","-28.5↘","94.6↘","118↘","-47.8↘"
="3231","緯創","139","-5.5","-3.81","11/12","1.26↘","2.7↘","-2.89↘","8.43↘","6.93↗","3.01↘","13.9↗","12.4↗","3.09↗"
="3491","昇達科","463.5","+42","+9.96","11/12","-0.66↗","-0.53↘","-0.25↗","23.3↗","19.5↗","7.51↘","58.9↗","55↗","7.79↗"
="6669","緯穎","4560","-160","-3.39","11/12","259↗","246↗","26.3↗","477↗","356↗","242↗","540↗","343↗","395↗"
="3008","大立光","2235","+20","+0.9","11/12","-27.4↗","-31.2↗","7.63↗","-38↘","-26.3↘","-23.4↘","-36.9↘","-4.01↘","-65.7↘"
="3443","創意","1885","-25","-1.31","11/12","114↗","80.5↗","66.1↗","130↗","75.6↗","109↗","92.8↗","59.1↗","67.6↗"
="3661","世芯-KY","3520","-115","-3.16","11/12","43↗","-11.7↗","109↘","92.8↗","151↘","-116↗","370↘","343↗","52.6↘"
="2301","光寶科","166.5","-1","-0.6","11/12","1.16↘","3.09↘","-3.85↘","17↘","15.4↗","3.21↘","16.5↗","9.43↗","14.1↗"
="4967","十銓","148.5","+8","+5.69","11/12","10.5↗","10.6↘","-0.19↗","15↗","7.57↗","14.8↗","8.21↗","5.2↗","6.01↗"
="2344","華邦電","64.8","+0.3","+0.47","11/12","6.83↗","6.19↗","1.29↗","9.87↗","6.06↗","7.63↗","4.24↗","-0.01↗","8.5↗"
="3711","日月光投控","227","-1","-0.44","11/12","14.8↘","15.4↘","-1.31↘","18.6↗","10.3↗","16.7↘","17.9↗","12.1↗","11.6↗"
="2408","南亞科","163","-1.5","-0.91","11/12","19.6↗","17.2↗","4.81↘","24.5↗","14.4↗","20.2↗","9.95↗","-1.26↗","22.4↗"
="6584","南俊國際","307","-3.5","-1.13","11/12","14.1↗","10.9↗","6.43↗","29.9↗","24.8↗","10.2↗","35.4↗","23.9↗","23↗"
="2882","國泰金","64.9","+0.1","+0.15","11/12","-0.2↗","-0.17↘","-0.05↗","0.48↘","0.47↗","0.02↘","3.34↘","3.68↘","-0.69↗"
="2891","中信金","43.05","-0.3","-0.69","11/12","0.05↗","-0.06↗","0.23↗","0.45↗","0.61↘","-0.32↗","3.73↘","3.74↘","-0.02↘"
="2884","玉山金","30.2","+0.05","+0.17","11/12","-0.77↗","-0.77↗","0.01↗","0.02↘","0.61↘","-1.18↘","1.38↘","1.16↗","0.44↘"
="2880","華南金","29.25","-0.55","-1.85","11/12","0.07↘","0.09↘","-0.04↘","0.56↘","0.55↗","0.02↘","1.58↗","1.45↗","0.27↘"
="0050","元大台灣50","63.2","+0.3","+0.48","11/12","0.99↘","1.34↘","-0.68↘","-17.4↗","-23↗","11.2↗","-21.9↘","-6.67↘","-30.5↗"
="00878","國泰永續高股息","21.4","+0.02","+0.09","11/12","0.04↘","0.09↘","-0.1↗","0.08↗","0↗","0.17↘","0.23↘","0.43↘","-0.41↗"
="006208","富邦台50","148.05","+0.95","+0.65","11/12","2.52↘","3.39↘","-1.74↗","9.84↗","8.05↗","3.57↘","14↗","10.9↗","6.36↗"
