"代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
="2317","鴻海","251","+4.5","+1.83","65,085","11/12","+6,275","+2,823","+5,931","+5,627","+1,982","+15,755","+12,400","+3,986","-16,315","-33,527"
="2330","台積電","1475","+10","+0.68","25,998","11/12","-405","-1,177","-1,067","-1,057","+929","+578","+3,026","-2,796","-14,759","-8,531"
="2308","台達電","967","-5","-0.51","14,451","11/12","-255","-299","-275","-135","+1,016","+1,065","+3,991","+4,740","+3,427","+4,895"
="2454","聯發科","1245","+5","+0.4","4,411","11/12","+15","+7","+138","+558","+60","+303","+905","+1,164","+1,203","+2,208"
="3231","緯創","139","-5.5","-3.81","88,398","11/12","-2,622","+4,528","+6,054","+5,650","-1,720","+11,478","+13,382","+18,352","-18,792","-24,225"
="3491","昇達科","463.5","+42","+9.96","5,794","11/12","-201","-117","-141","-242","-159","-141","-338","+121","-800","-189"
="6669","緯穎","4560","-160","-3.39","2,586","11/12","0","+86","+159","+209","+87","+290","+17","-462","-509","-179"
="3008","大立光","2235","+20","+0.9","269","11/12","-8","-10","-32","+6","+67","+67","+84","+101","-499","-439"
="3443","創意","1885","-25","-1.31","4,497","11/12","-176","-727","-107","+495","+901","+1,311","+1,842","+3,023","+1,951","+1,479"
="3661","世芯-KY","3520","-115","-3.16","1,479","11/12","-81","-56","-184","-123","-370","+143","+324","+686","+15","+1,059"
="2301","光寶科","166.5","-1","-0.6","10,572","11/12","-260","-347","-503","-628","-4,365","+4,235","+11,067","+16,065","+4,167","+4,883"
="4967","十銓","148.5","+8","+5.69","29,795","11/12","+1,032","+58","+1,908","+2,883","+1,727","-36","+3,655","+4,117","+470","+1,915"
="2344","華邦電","64.8","+0.3","+0.47","23,238","11/12","-2,751","-6,516","-6,758","-16,546","-28,639","-44,065","+48,732","+42,160","+39,141","+38,788"
="3711","日月光投控","227","-1","-0.44","16,587","11/12","+22","-26","-89","+128","-486","+183","+1,006","+2,044","-4,951","-589"
="2408","南亞科","163","-1.5","-0.91","192,259","11/12","+3,526","-3,072","+6,962","+17,628","+37,558","+40,497","+90,408","+100,941","+118,109","+111,367"
="6584","南俊國際","307","-3.5","-1.13","5,255","11/12","+205","+431","+367","+338","+124","+597","+364","+796","-235","-479"
="2882","國泰金","64.9","+0.1","+0.15","28,252","11/12","-237","+553","+572","+770","+1,067","+1,024","+286","-3,230","-6,217","-4,341"
="2891","中信金","43.05","-0.3","-0.69","29,518","11/12","-31","-477","-773","-755","-841","-1,190","-1,667","-7,259","-19,808","-15,547"
="2884","玉山金","30.2","+0.05","+0.17","48,055","11/12","-1,106","-1,383","-1,079","-848","-1,645","+13,841","+13,475","+11,829","+10,184","+10,482"
="2880","華南金","29.25","-0.55","-1.85","17,093","11/12","+52","+56","+84","+89","+58","+20","-907","-367","-2,048","-1,964"
="0050","元大台灣50","63.2","+0.3","+0.48","62,620","11/12","+49","-259","-324","+154","+880","+753","+2,905","+6,151","+7,636","+7,955"
="00878","國泰永續高股息","21.4","+0.02","+0.09","37,232","11/12","+182","+269","+413","+391","+1,400","+1,135","-4,516","-5,466","-5,921","-3,275"
="006208","富邦台50","148.05","+0.95","+0.65","8,277","11/12","-8","0","+3","-5","+8","-21","-34","-1,065","-822","-659"
